Id,diem,ketqua
1,2.64,Kha
2,2.65,Kha
3,3.11,Kha
4,2.88,Kha
5,3.27,Gioi
6,2.47,Trung binh
7,3.35,Gioi
8,2.39,Trung binh
9,2.69,Kha
10,3.21,Gioi
11,2.26,Trung binh
12,2.67,Kha
13,2.64,Kha
14,3.33,Gioi
15,3.27,Gioi
16,2.35,Trung binh
17,3.05,Kha
18,3.53,Gioi
19,2.74,Kha
20,3.04,Kha
21,2.57,Kha
22,2.57,Kha
23,2.72,Kha
24,2.6,Kha
25,2.75,Kha
26,3.06,Kha
27,3.32,Gioi
28,3.27,Gioi
29,2.8,Kha
30,3.13,Kha
31,3.22,Gioi
32,3.02,Kha
33,2.48,Trung binh
34,2.89,Kha
35,3.06,Kha
36,2.33,Trung binh
37,2.08,Trung binh
38,2.46,Trung binh
39,2.88,Kha
40,2.87,Kha
41,3.22,Gioi
42,3.17,Kha
43,3.3,Gioi
44,3.22,Gioi
45,3.4,Gioi
46,2.74,Kha
47,2.57,Kha
48,2.62,Kha
49,3.09,Kha
50,3.36,Gioi
51,3.18,Kha
52,3.11,Kha
53,2.82,Kha
54,3,Kha
55,3.33,Gioi
56,3.16,Kha
57,3.29,Gioi
58,3.19,Kha
59,2.63,Kha
60,2.75,Kha
61,2.54,Kha
62,3.11,Kha
63,2.67,Kha
64,3.02,Kha
65,3.26,Gioi
66,3.21,Gioi
67,3.29,Gioi
68,2.41,Trung binh
69,3.01,Kha
70,3.14,Kha
71,2.9,Kha
72,3.4,Gioi
73,3.09,Kha
74,2.58,Kha
75,2.67,Kha
76,3.47,Gioi
77,3.62,Xuat sac
78,3.33,Gioi
79,3.16,Kha
80,3.29,Gioi
81,3.19,Kha
82,2.63,Kha
83,2.75,Kha
84,2.54,Kha
85,3.11,Kha
86,2.67,Kha
87,3.02,Kha
88,3.26,Gioi
89,3.21,Gioi
90,3.29,Gioi
91,2.41,Trung binh
92,3.01,Kha
93,3.14,Kha
94,2.9,Kha
95,3.4,Gioi
96,3.09,Kha
97,2.58,Kha
98,2.67,Kha
99,3.47,Gioi
100,3.62,Xuat sac
